country,designation,points,price,province,variety,winery,fill,
US,The Traveler,98,155,California,Pinot Noir,Wayfarer,#91C5AA,
US,Limited Edition,96,155,California,Bordeaux,Portfolio,#91C5AA,
US,Martin Stelling Vineyard,96,155,California,Cabernet,Nickel & Nickel,#91C5AA,
US,martin Stelling Vineyard,96,155,California,Cabernet,Nickel & Nickel,#91C5AA,
US,Estate Bottled,95,155,California,Cabernet,Far Niente,#91C5AA,
US,To Kalon Vineyard 50th Anniversary Reserve,95,155,California,Cabernet,Robert Mondavi,#91C5AA,
US,Ganymede Vineyard Estate Grown,94,155,California,Cabernet,Chimney Rock,#91C5AA,
US,Martin Stelling Vineyard,94,155,California,Cabernet,Nickel & Nickel,#91C5AA,
US,Outer Limits,94,155,California,Cabernet,Parallel,#91C5AA,
US,Padrone,94,155,California,Cabernet,Signorello,#91C5AA,
US,Estate,94,155,California,Cabernet,Vineyard 511,#91C5AA,
US,Outer Limits,94,155,California,Cabernet,Parallel,#91C5AA,
US,Lineage,93,155,California,Red Blend,Steven Kent,#91C5AA,
US,Lake William,92,155,California,Bordeaux,Jarvis,#91C5AA,
US,Lake William,92,155,California,Bordeaux,Jarvis,#91C5AA,
US,Lake William Estate Grown Cave Fermented,92,155,California,Bordeaux,Jarvis,#91C5AA,
US,Tomahawk Vineyard,92,155,California,Cabernet,Chimney Rock,#91C5AA,
US,Tomahawk Vineyard Estate Grown,91,155,California,Cabernet,Chimney Rock,#91C5AA,
US,Estate,90,155,California,Cabernet,Hestan,#91C5AA,
US,Estate,90,155,California,Cabernet,Hestan,#91C5AA,
US,Journey,89,155,California,Bordeaux,Matanzas Creek,#91C5AA,
US,Journey,89,155,California,Bordeaux,matanzas Creek,#91C5AA,
US,Elevation 1147 Estate,99,150,California,Cabernet,David Arthur,#91C5AA,
US,Elevation 1147 Estate,99,150,California,Cabernet,David Arthur,#91C5AA,
US,Plus Game Ranch Single Vineyard Selection,98,150,California,Cabernet,Goldschmidt,#91C5AA,
